Method,Mode,Peak Value,ESR,LDR
CLA-2A,0,60,0.10636486902935084,-0.19725711431723525
CLA-2A,0,65,0.14162454823175347,-0.47865067085947555
CLA-2A,0,70,0.14636597545029742,-0.4797151556614283
CLA-2A,0,75,0.163089219467615,-0.5152067417838468
CLA-2A,0,80,0.14768051290336584,-0.34779440793587657
CLA-2A,0,85,0.11586815919743616,0.013384926444087952
CLA-2A,0,90,0.1611611165721409,0.3955272800242202
CLA-2A,0,95,0.19081340820253057,0.48105227060647904
CLA-2A,0,100,0.19362160563962708,0.4775946467776988
CLA-2A,1,0,0.08454182389977923,0.025624679545604323
CLA-2A,1,5,0.08466444308110972,0.0260814750441698
CLA-2A,1,15,0.08502938676338385,0.02536865288862078
CLA-2A,1,20,0.08527436957972112,0.02466548006838387
CLA-2A,1,25,0.08553170780374685,0.025046140735848432
CLA-2A,1,30,0.0860499881551785,0.024705899831372058
CLA-2A,1,35,0.09466309355741566,0.07162590631168175
CLA-2A,1,40,0.13743744820080053,0.2366115710068728
CLA-2A,1,45,0.20345746961674865,0.3872810654592218
CLA-2A,1,50,0.10144555698827556,0.21755905412522303
CLA-2A,1,55,0.09351377835292593,0.022186711972081774
CLA-2A,1,60,0.11070678571057445,-0.21245988767420254
CLA-2A,1,65,0.15546963783351023,-0.5250799389819383
CLA-2A,1,75,0.20150375805493254,-0.6363887331312519
CLA-2A,1,80,0.19338448020970556,-0.5152474457162777
CLA-2A,1,85,0.15263866354631914,-0.1465900563560858
CLA-2A,1,90,0.14848227815191242,0.23633345632679337
CLA-2A,1,95,0.16315852036047532,0.29083120886436964
CLA-2A,1,100,0.16939889640100242,0.2594457213422836
CLA-2A,0,10,0.08446327735761082,0.025526105850912195
CLA-2A,0,50,0.10398553509655696,0.21174231982609726
CLA-2A,1,10,0.08484066863160215,0.025894697219021268
CLA-2A,1,70,0.17070986183258444,-0.5614124055408114
